episodes,correct_rate,revision_rate,evidence_type,mean_mentions,mean_mentions_revision_episodes,mean_mentions_correct_episodes
17,0.35294117647058826,0.23529411764705882,star_power,55,67.75,58.833333333333336
17,0.35294117647058826,0.23529411764705882,festival,17.647058823529413,11,6
17,0.35294117647058826,0.23529411764705882,priors,17.294117647058822,21.25,18.833333333333332
17,0.35294117647058826,0.23529411764705882,campaign,17.058823529411764,21.75,13.666666666666666
17,0.35294117647058826,0.23529411764705882,narrative,10.647058823529411,15,9.166666666666666
17,0.35294117647058826,0.23529411764705882,guild,8.411764705882353,6.5,13.5
17,0.35294117647058826,0.23529411764705882,release_timing,6.529411764705882,7,10
17,0.35294117647058826,0.23529411764705882,box_office,4.411764705882353,4,2.1666666666666665
