slug,title,episode_date,episode_type,transcript_url,transcript_available,raw_segments,usable_segments,page_title,fetch_status,cache_path
the-denzel-washington-draft,The Denzel Washington Draft,2023-09-12,NA,https://podscripts.co/podcasts/the-big-picture/the-denzel-washington-draft,TRUE,475,474,The Big Picture - The Denzel Washington Draft,ok,NA
600th-episode-mega-mailbag-extravaganza,600th Episode Mega Mailbag Extravaganza,2023-09-08,NA,https://podscripts.co/podcasts/the-big-picture/600th-episode-mega-mailbag-extravaganza,TRUE,347,347,The Big Picture - 600th Episode Mega Mailbag Extravaganza,ok,NA
10-way-too-early-oscar-predictions-and-the-best-movies-at-telluride-and-venice,10 Way-Too-Early Oscar Predictions and the Best Movies at Telluride and Venice,2023-09-06,NA,https://podscripts.co/podcasts/the-big-picture/10-way-too-early-oscar-predictions-and-the-best-movies-at-telluride-and-venice,TRUE,301,301,The Big Picture - 10 Way-Too-Early Oscar Predictions and the Best Movies at Telluride and Venice,ok,NA
the-2006-movie-draft,The 2006 Movie Draft,2023-08-31,NA,https://podscripts.co/podcasts/the-big-picture/the-2006-movie-draft,TRUE,430,430,The Big Picture - The 2006 Movie Draft,ok,NA
dune-2-pushed-back-barbenheimers-2-billion-and-everything-we-missed-while-we-were-out,"'Dune 2' Pushed Back, Barbenheimers $2 Billion, and Everything We Missed While We Were Out",2023-08-28,NA,https://podscripts.co/podcasts/the-big-picture/dune-2-pushed-back-barbenheimers-2-billion-and-everything-we-missed-while-we-were-out,TRUE,323,323,"The Big Picture - 'Dune 2' Pushed Back, Barbenheimers $2 Billion, and Everything We Missed While We Were Out",ok,NA
8-i-love-america-do-we-get-to-win-this-time,8. I Love America | Do We Get to Win This Time?,2023-08-25,NA,https://podscripts.co/podcasts/the-big-picture/8-i-love-america-do-we-get-to-win-this-time,TRUE,128,128,The Big Picture - 8. I Love America | Do We Get to Win This Time?,ok,NA
7-aint-war-hell-do-we-get-to-win-this-time,7. Aint War Hell? | Do We Get to Win This Time?,2023-08-23,NA,https://podscripts.co/podcasts/the-big-picture/7-aint-war-hell-do-we-get-to-win-this-time,TRUE,107,107,The Big Picture - 7. Aint War Hell? | Do We Get to Win This Time?,ok,NA
6-i-am-reality-do-we-get-to-win-this-time,6. I Am Reality | Do We Get to Win This Time?,2023-08-21,NA,https://podscripts.co/podcasts/the-big-picture/6-i-am-reality-do-we-get-to-win-this-time,TRUE,89,89,The Big Picture - 6. I Am Reality | Do We Get to Win This Time?,ok,NA
5-nothing-is-over-do-we-get-to-win-this-time,5. Nothing Is Over | Do We Get to Win This Time?,2023-08-18,NA,https://podscripts.co/podcasts/the-big-picture/5-nothing-is-over-do-we-get-to-win-this-time,TRUE,92,92,The Big Picture - 5. Nothing Is Over | Do We Get to Win This Time?,ok,NA
4-little-by-little-we-went-insane-do-we-get-to-win-this-time,"4. Little by Little, We Went Insane | Do We Get to Win This Time?",2023-08-16,NA,https://podscripts.co/podcasts/the-big-picture/4-little-by-little-we-went-insane-do-we-get-to-win-this-time,TRUE,101,101,"The Big Picture - 4. Little by Little, We Went Insane | Do We Get to Win This Time?",ok,NA
3-what-a-strange-country-do-we-get-to-win-this-time,3. What a Strange Country | Do We Get to Win This Time?,2023-08-14,NA,https://podscripts.co/podcasts/the-big-picture/3-what-a-strange-country-do-we-get-to-win-this-time,TRUE,98,98,The Big Picture - 3. What a Strange Country | Do We Get to Win This Time?,ok,NA
2-i-just-dont-talk-about-it-do-we-get-to-win-this-time,2. I Just Dont Talk About It | Do We Get to Win This Time?,2023-08-11,NA,https://podscripts.co/podcasts/the-big-picture/2-i-just-dont-talk-about-it-do-we-get-to-win-this-time,TRUE,74,74,The Big Picture - 2. I Just Dont Talk About It | Do We Get to Win This Time?,ok,NA
1-give-em-hell-do-we-get-to-win-this-time,1. Give Em Hell | Do We Get to Win This Time?,2023-08-08,NA,https://podscripts.co/podcasts/the-big-picture/1-give-em-hell-do-we-get-to-win-this-time,TRUE,73,73,The Big Picture - 1. Give Em Hell | Do We Get to Win This Time?,ok,NA
prologue-do-we-get-to-win-this-time,Prologue | Do We Get to Win This Time?,2023-08-08,NA,https://podscripts.co/podcasts/the-big-picture/prologue-do-we-get-to-win-this-time,TRUE,32,32,The Big Picture - Prologue | Do We Get to Win This Time?,ok,NA
sharks-alligators-piranhas-and-the-top-10-garbage-fish-movies,"Sharks, Alligators, Piranhas, and the Top 10 Garbage Fish Movies",2023-08-04,NA,https://podscripts.co/podcasts/the-big-picture/sharks-alligators-piranhas-and-the-top-10-garbage-fish-movies,TRUE,313,312,"The Big Picture - Sharks, Alligators, Piranhas, and the Top 10 Garbage Fish Movies",ok,NA
the-top-5-scariest-summer-movies-and-talk-to-me,The Top 5 Scariest Summer Movies and Talk to Me,2023-08-02,NA,https://podscripts.co/podcasts/the-big-picture/the-top-5-scariest-summer-movies-and-talk-to-me,TRUE,137,137,The Big Picture - The Top 5 Scariest Summer Movies and Talk to Me,ok,NA
the-movie-star-liquor-taste-test,The Movie Star Liquor Taste Test,2023-07-31,NA,https://podscripts.co/podcasts/the-big-picture/the-movie-star-liquor-taste-test,TRUE,409,409,The Big Picture - The Movie Star Liquor Taste Test,ok,NA
the-barbie-deep-dive-with-greta-gerwig,The Barbie Deep Dive With Greta Gerwig!,2023-07-27,NA,https://podscripts.co/podcasts/the-big-picture/the-barbie-deep-dive-with-greta-gerwig,TRUE,295,295,The Big Picture - The Barbie Deep Dive With Greta Gerwig!,ok,NA
barbie-oppenheimer-aka-barbenheimer-is-upon-us,"Barbie + Oppenheimer, a.k.a. Barbenheimer, Is Upon Us!",2023-07-21,NA,https://podscripts.co/podcasts/the-big-picture/barbie-oppenheimer-aka-barbenheimer-is-upon-us,TRUE,280,280,"The Big Picture - Barbie + Oppenheimer, a.k.a. Barbenheimer, Is Upon Us!",ok,NA
the-mission-impossible-mailbag-and-movie-rankings,"The Mission: Impossible Mailbag, and Movie Rankings",2023-07-18,NA,https://podscripts.co/podcasts/the-big-picture/the-mission-impossible-mailbag-and-movie-rankings,TRUE,309,309,"The Big Picture - The Mission: Impossible Mailbag, and Movie Rankings",ok,NA
mission-impossible-dead-reckoning-part-one-is-here-and-its-spectacular,"Mission: ImpossibleDead Reckoning Part One Is Here, and Its Spectacular",2023-07-12,NA,https://podscripts.co/podcasts/the-big-picture/mission-impossible-dead-reckoning-part-one-is-here-and-its-spectacular,TRUE,249,249,"The Big Picture - Mission: ImpossibleDead Reckoning Part One Is Here, and Its Spectacular",ok,NA
10-movies-we-missed-this-year,10 Movies We Missed This Year,2023-07-10,NA,https://podscripts.co/podcasts/the-big-picture/10-movies-we-missed-this-year,TRUE,202,201,The Big Picture - 10 Movies We Missed This Year,ok,NA
