page,row_on_page,title,episode_date,summary,transcript_url,slug,episode_type,year
1,14,The Final Best Picture Power Rankings and a Sinners Second Look With Autumn Durald Arkapaw!,2026-02-24,"Sean and Amanda open todays jam-packed show by covering the results of the BAFTA Awards and highlighting some key takeaways, including Sean Penn's an...",https://podscripts.co/podcasts/the-big-picture/the-final-best-picture-power-rankings-and-a-sinners-second-look-with-autumn-durald-arkapaw,the-final-best-picture-power-rankings-and-a-sinners-second-look-with-autumn-durald-arkapaw,oscar,2026
1,15,Garbage Crime Returns! The Post-Heat Movie Awards and Crime 101 With Bart Layton!,2026-02-20,Sean is joined by Chris Ryan to talk garbage crime and the litany of films that have been influenced by the likes of 'Heat'. They also discuss the lif...,https://podscripts.co/podcasts/the-big-picture/garbage-crime-returns-the-post-heat-movie-awards-and-crime-101-with-bart-layton,garbage-crime-returns-the-post-heat-movie-awards-and-crime-101-with-bart-layton,interview,2026
1,16,The Oscars Snubs Draft. Plus: Sirt!,2026-02-16,"Were drafting again! Sean and Amanda are joined by Chris Ryan, Joanna Robisnon, and The Anklers Katey Rich to right the Academys wrongs by drafting...",https://podscripts.co/podcasts/the-big-picture/the-oscars-snubs-draft-plus-sirat,the-oscars-snubs-draft-plus-sirat,oscar,2026
1,17,The Heaving Wuthering Heights and the Throbbing Pillion: A Very Horny Valentine's Day Double Feature,2026-02-13,Sean and Amanda are joined by Sam Sanders from the Sam Sanders Show to break down two new horny and thorny releases. They begin the show with an exten...,https://podscripts.co/podcasts/the-big-picture/the-heaving-wuthering-heights-and-the-throbbing-pillion-a-very-horny-valentines-day-double-feature,the-heaving-wuthering-heights-and-the-throbbing-pillion-a-very-horny-valentines-day-double-feature,interview,2026
1,18,Mamma Mia! Meets The Strangers'! Its a Movie Swap!,2026-02-06,For the first time in show history were doing a listeners choice episode! We gave you four options and you ultimately decided to go with a 2008 Mo...,https://podscripts.co/podcasts/the-big-picture/mamma-mia-meets-the-strangers-its-a-movie-swap,mamma-mia-meets-the-strangers-its-a-movie-swap,interview,2026
1,19,Dumpuary Is Dead. These Movies Killed It. Plus: The Best Movies at Sundance and the Catherine OHara Hall of Fame.,2026-02-03,"Sean and Amanda open todays action-packed show by discussing the incredible box office success of Markipliers self-financed Iron Lung, and they ta...",https://podscripts.co/podcasts/the-big-picture/dumpuary-is-dead-these-movies-killed-it-plus-the-best-movies-at-sundance-and-the-catherine-ohara-hall-of-fame,dumpuary-is-dead-these-movies-killed-it-plus-the-best-movies-at-sundance-and-the-catherine-ohara-hall-of-fame,ranking,2026
1,20,The 10 Most Misused Stars in Hollywood and the Gnarly Magic of Send Help,2026-01-30,"Sean and Amanda open the show by covering A24's win in the 72-hour bidding war for Olivia Wildes The Invite at the Sundance Film Festival (1:16), r...",https://podscripts.co/podcasts/the-big-picture/the-10-most-misused-stars-in-hollywood-and-the-gnarly-magic-of-send-help,the-10-most-misused-stars-in-hollywood-and-the-gnarly-magic-of-send-help,standard,2026
2,1,The Adam Sandler Hall of Fame and Jay Kelly With Noah Baumbach!,2025-12-10,"Sean and Amanda cover Noah Baumbachs new film, Jay Kelly, starring George Clooney and Adam Sandler. They work through their mixed reactions to the...",https://podscripts.co/podcasts/the-big-picture/the-adam-sandler-hall-of-fame-and-jay-kelly-with-noah-baumbach,the-adam-sandler-hall-of-fame-and-jay-kelly-with-noah-baumbach,ranking,2025
2,2,The Truth About Netflix Buying Warner Bros. Plus: Snubs and Surprises of the Golden Globe Nominations and Jafar Panahi on It Was Just an Accident.,2025-12-08,"Sean and Amanda have an action-packed show today, and they start with the biggest piece of news: Netflixs $82.7 billion acquisition of Warner Bros. D...",https://podscripts.co/podcasts/the-big-picture/the-truth-about-netflix-buying-warner-bros-plus-snubs-and-surprises-of-the-golden-globe-nominations-and-jafar-panahi-on-it-was-just-an-accident,the-truth-about-netflix-buying-warner-bros-plus-snubs-and-surprises-of-the-golden-globe-nominations-and-jafar-panahi-on-it-was-just-an-accident,oscar,2025
2,3,The Top Five Movies of 2025,2025-12-05,"Sean and Amanda are joined by Chris Ryan and Adam Nayman to share their five favorite films from the year. But before diving in, they cover a handful...",https://podscripts.co/podcasts/the-big-picture/the-top-five-movies-of-2025,the-top-five-movies-of-2025,ranking,2025
