league,bets,mean_profit,roi,profit_sd,se_profit,calibration_gap,python_roi,python_bets,roi_gap_vs_python,shrunk_mean_profit
MLB,2328,3.8524266565237912,0.038524266565237913,113.43325321932355,2.350979811085206,0.021396959270260574,0.03852426656523761,2328,3.0531133177191805e-16,3.0864589913242177
NBA,1637,-0.43070487590925854,-0.004307048759092586,165.11065913806377,4.08085131327451,0.0065230242785111504,-0.0043070487590924,1637,-1.8561541192951836e-16,3.0864589913242177
NFL,519,1.8048826352495095,0.018048826352495096,142.61472459849028,6.2600916095630605,0.02691352365366977,0.01804882635249487,519,2.255140518769849e-16,3.0864589913242177
NHL,1417,-8.242343808587288,-0.08242343808587288,113.12335997227123,3.005158417557993,-0.021458744441877422,-0.08242343808587277,1417,-1.1102230246251565e-16,3.0864589913242177
